Type,Descriptions,Number of incoming calls in the past 12 months of this call type,Number of self initiated incidents in past 12 months of this call type,Mapping,Total,,,,,,,,
OV,On View,172,37100,,37272,,,,,Code,Number of Calls or Incidents,Percentage of Calls or Incidents,Easily Defunded?
945A,AMBULANCE REQUESTED - NO OFFICER NEEDED,22665,105,Medical,22770,,415,60142,,415,60142,21.30%,Yes
933R,ALARM - RINGER,15876,157,Alarm,16033,,Alarm,17878,,Traffic/Vehicle,47219,16.72%,Yes
415C,415 UNKNOWN,13421,20,415,13441,,Animal,3227,,Medical,25769,9.13%,Yes
10851,STOLEN VEHICLE,8158,1523,Property Crime,9681,,Assist,2128,,Property Crime,23553,8.34%,
5150,MENTALLY ILL,8411,383,Mental Health,8794,,Beat Information,3860,,Alarm,17878,6.33%,
459AU,AUTO BURGLARY,7965,629,Robbery/Burglary,8594,,COVID,1039,,Robbery/Burglary,17200,6.09%,
415,DISTURBING THE PEACE,7514,894,415,8408,,Custody,619,,Weapons,14153,5.01%,
HAZ,HAZARDOUS SITUATION/TRAFFIC,6633,376,Traffic/Vehicle,7009,,Drugs,2103,,Interpersonal Violence,13673,4.84%,
242,BATTERY,6498,263,Interpersonal Violence,6761,,Evaluation,3988,,Mental Health,10135,3.59%,Yes
970B,AUTO BLOCKING DRIVEWAY,6412,39,Traffic/Vehicle,6451,,Homelessness,1962,,Suspicious person,8326,2.95%,Yes
415E,LOUD MUSIC,6247,7,415,6254,,Indecent Exposure,550,,Welfare,5567,1.97%,Yes
905,ABANDONED AUTOMOBILE,471,5749,Traffic/Vehicle,6220,,Interpersonal Violence,13673,,Trespass,4357,1.54%,Yes
901,VEHICLE COLLISION - PROPERTY DAMAGE,5196,585,Traffic/Vehicle,5781,,Juvenile Run Away,1438,,Evaluation,3988,1.41%,Yes
WELCK,WELFARE CHECK - CHECK THE WELL BEING,5481,86,Welfare,5567,,Medical,25769,,Beat Information,3860,1.37%,
459,BURGLARY,3683,1547,Robbery/Burglary,5230,,Mental Health,10135,,Theft of Utility Services,3470,1.23%,Yes
